,Tarih,Çalışma Grubu,İstasyon Adı,Sağlam(dz),Miktar (kg.),Ürün Grubu,Model Ad,Yıl,Hafta
0,2023-02-08,GECE,A0023,14.5,3.12,Patik,2023-2,2023,6
1,2023-02-01,GECE,A0016,15.08,5.26,Kısa Konç,KISAKONC,2023,5
2,2023-01-02,GÜNDÜZ,A0018,13.0,0.0,Kısa Konç,TUBE CEMBERLI ,2023,1
3,2023-02-20,GECE,A0008,12.33,6.59,Soket,3P-TENİS HAVLU,2023,8
4,2023-02-16,GÜNDÜZ,A0023,25.17,6.6,Soket,CEMBERLI YILDIZLI PATİK,2023,7
5,2023-01-30,GECE,A0024,13.58,2.42,Babet,2023-3,2023,5
6,2023-01-02,GÜNDÜZ,A0015,11.92,4.13,Soket,2023-1,2023,1
7,2023-01-19,GÜNDÜZ,A0018,13.0,0.0,Patik,BAYAN SIMLI KARELI  PATIK,2023,3
8,2023-02-21,GÜNDÜZ,A0016,10.83,3.39,Patik,CODE 3P.XX SHORT,2023,8
9,2023-01-05,GECE,A0008,10.83,4.46,Soket,DENIZ MAHSULLERİ,2023,1
10,2023-01-05,GÜNDÜZ,A0028,8.33,2.75,Soket,KRAL TACI,2023,1
11,2023-02-21,GECE,A0011,12.0,0.0,Kısa Konç,TAM HAVLU KISA SOKET,2023,8
12,2023-01-26,GÜNDÜZ,A0036,11.25,3.52,Patik,CODE 3P.XX SHORT,2023,4
13,2023-01-12,GECE,A0025,34.5,13.25,Soket,EKRU ÇOK ARI,2023,2
14,2023-02-16,GÜNDÜZ,A0011,8.75,1.5,Babet,KALPLI   BABET,2023,7
15,2023-02-20,GÜNDÜZ,A0030,5.25,1.82,Soket,KALPLI SOKET,2023,8
16,2023-01-09,GECE,A0028,12.92,4.09,Soket,MANTAR DESEN,2023,2
17,2023-01-20,GÜNDÜZ,A0022,9.25,2.11,Patik,2023-2,2023,3
18,2023-01-05,GECE,A0006,14.0,0.0,Patik,CARERA PATİK,2023,1
19,2023-01-22,GECE,A0010,22.5,5.73,Patik,CODE 3P.XX SHORT,2023,3
20,2023-01-18,GÜNDÜZ,A0018,10.0,0.0,Patik,BAYAN SIMLI KARELI  PATIK,2023,3
21,2023-02-09,GÜNDÜZ,A0007,9.75,1.66,Babet,CEMBERLI BABET,2023,6
22,2023-02-14,GECE,A0035,16.25,5.0,Patik,CODE 3P.XX SHORT,2023,7
23,2023-02-09,GÜNDÜZ,A0005,8.17,4.76,Soket,3P-TENİS HAVLU,2023,6
24,2023-02-09,GÜNDÜZ,A0016,11.17,3.48,Patik,CODE 3P.XX SHORT,2023,6
25,2023-02-22,GECE,A0003,16.75,4.23,Patik,CODE 3P.XX SHORT,2023,8
26,2023-01-10,GECE,A0029,7.08,2.8,Soket,FLORAL ANKLE,2023,2
27,2023-02-20,GECE,A0011,10.5,1.79,Babet,2023-3,2023,8
28,2023-02-08,GECE,A0008,13.75,2.43,Babet,KAMUFLAJ  BABET,2023,6
29,2023-01-31,GECE,A0013,15.0,4.97,Patik,CODE 3P.XX SHORT,2023,5
30,2023-01-25,GECE,A0030,15.33,4.21,Patik,CODE 3P.XX SHORT,2023,4
31,2023-01-05,GÜNDÜZ,A0015,11.83,4.1,Soket,2023-1,2023,1
32,2023-01-13,GÜNDÜZ,A0020,7.17,2.51,Soket,RIB ANKLE PURPLE,2023,2
33,2023-02-09,GÜNDÜZ,A0028,7.92,2.74,Soket,PUNALI SOKET,2023,6
34,2023-01-07,GECE,A0029,19.33,7.86,Soket,FLORAL ANKLE,2023,1
35,2023-01-17,GÜNDÜZ,A0025,10.08,3.2,Patik,CODE 3P.XX SHORT,2023,3
36,2023-02-01,GÜNDÜZ,A0033,9.5,1.75,Babet,2023-3,2023,5
37,2023-01-09,GECE,A0030,2.58,0.92,Soket,POLKA DOTA ANKLE BLUE,2023,2
38,2023-02-09,GECE,A0024,13.67,2.4,Babet,DALMACYA  BABET,2023,6
39,2023-02-21,GÜNDÜZ,A0018,11.0,0.0,Patik,SİM CEMBER PATİK,2023,8
40,2023-01-25,GECE,A0018,17.0,0.0,Patik,BAYAN KÜÇÜK NOKTA,2023,4
41,2023-01-09,GÜNDÜZ,A0001,8.67,3.11,Soket,POLKA DOTA ANKLE BLUE,2023,2
42,2023-02-21,GÜNDÜZ,A0035,11.17,3.5,Patik,CODE 3P.XX SHORT,2023,8
43,2023-01-04,GECE,A0032,20.58,8.19,Soket,DALSIZ PAPTYA,2023,1
44,2023-01-16,GÜNDÜZ,A0017,2.0,0.0,Kısa Konç,TUBE CEMBERLI ,2023,3
45,2023-01-10,GECE,A0028,13.33,4.25,Soket,MANTAR DESEN,2023,2
46,2023-01-30,GECE,A0017,19.0,0.0,Patik,BAYAN YILDIZ KABARTMA ,2023,5
47,2023-01-06,GECE,A0013,11.33,4.52,Soket,EKRU ÇOK ARI,2023,1
48,2023-01-22,GECE,A0015,34.17,10.8,Patik,CODE 3P.XX SHORT,2023,3
49,2023-01-16,GÜNDÜZ,A0022,10.33,2.38,Patik,2023-2,2023,3
50,2023-02-21,GECE,A0013,15.25,4.8,Patik,CODE 3P.XX SHORT,2023,8
51,2023-01-06,GECE,A0025,5.17,1.95,Soket,FLAMINGO SOKET,2023,1
52,2023-01-24,GECE,A0011,14.75,3.25,Patik,2023-2,2023,4
53,2023-02-20,GECE,A0011,2.83,0.49,Babet,KALPLI   BABET,2023,8
54,2023-02-05,GECE,A0021,23.58,6.67,Patik,KISAKONC SİM ÇEMBER,2023,5
55,2023-01-04,GECE,A0021,32.67,11.95,Soket,FLORAL ANKLE,2023,1
56,2023-02-15,GECE,A0028,20.75,7.25,Soket,PUNALI SOKET,2023,7
57,2023-02-22,GECE,A0029,12.75,4.52,Soket,PUNALI SOKET,2023,8
58,2023-02-14,GECE,A0005,11.08,6.55,Soket,3P-TENİS HAVLU,2023,7
59,2023-01-11,GECE,A0002,2.75,1.06,Soket,FLORAL ANKLE,2023,2
60,2023-01-30,GECE,A0010,16.58,4.96,Kısa Konç,KISAKONC,2023,5
