Tarih,Çalışma Grubu,İstasyon Adı,Model Ad,Talimat No,Renk,Beden,Sağlam(dz),Miktar (kg.)
 02.Jan.2023,GÜNDÜZ,A0018,TUBE CEMBERLI ,21945 - 8492926,SİYAH,ONE SİZE,13.00,0.000
 02.Jan.2023,GÜNDÜZ,A0015,2023-1,2023-1 - 2023-1,SİYAH,35-38,11.92,4.130
 02.Jan.2023,GÜNDÜZ,A0012,3 LU DERBI CEMBERLI ,21836 - 32026,BEYAZ-SIYAH,35-38,9.83,3.790
 02.Jan.2023,GECE,A0016,BRK-2,BRK-3 - BRK-3,SİYAH,35-38,17.17,5.060
 02.Jan.2023,GECE,A0032,DALSIZ PAPTYA,21844 - 31909,YENİ MARİN,4-7,10.42,4.030
 02.Jan.2023,GÜNDÜZ,A0029,FLORAL ANKLE,21844-1 - 31912,LACİVERT,ONE SİZE,9.75,3.850
 02.Jan.2023,GÜNDÜZ,A0001,POLKA DOTA ANKLE BLUE,21844-1 - 31907,SKY,35-38,9.58,3.590
 02.Jan.2023,GÜNDÜZ,A0006,CARERA PATİK,CST130/24CS - CST130/24CS,SİYAH-MAVİ,43-46,10.00,0.000
 02.Jan.2023,GECE,A0021,FLORAL ANKLE,21844-1 - 31912,A.PEMBE,ONE SİZE,11.58,4.230
 02.Jan.2023,GECE,A0019,3 LU DERBILI PURPLE/PINK,21844-1 - 31902,Ö.LİLA,ONE SİZE,11.50,4.000
 02.Jan.2023,GECE,A0007,DENIZ MAHSULLERİ,21844-1 - 31917,LACİVERT,ONE SİZE,9.33,3.820
 02.Jan.2023,GECE,A0003,3 LU DERBILI PURPLE/PINK,21844-1 - 31902,Y.AGZI,ONE SİZE,11.83,4.130
 02.Jan.2023,GÜNDÜZ,A0028,KAKTÜS SOKET,21909 - 32125,PEMBE-1,ONE SİZE,8.75,3.120
 02.Jan.2023,GECE,A0033,DENIZ MAHSULLERİ,21844-1 - 31917,MAVİ,ONE SİZE,11.42,4.690
 02.Jan.2023,GECE,A0005,MAVI COKLU ARI,21844-1 - 31911,SKY,ONE SİZE,11.75,4.610
 02.Jan.2023,GÜNDÜZ,A0010,FOX  SAKES,21871 - 32371-A,GR-2,ONE SİZE,10.42,3.320
 02.Jan.2023,GECE,A0024,FLAMINGO SOKET,21844-1 - 31915,SKY,ONE SİZE,11.83,4.610
 02.Jan.2023,GÜNDÜZ,A0024,FLAMINGO SOKET,21844-1 - 31915,SKY,ONE SİZE,10.17,3.930
 02.Jan.2023,GECE,A0015,2023-1,2023-1 - 2023-1,SİYAH,35-38,13.67,4.790
 02.Jan.2023,GECE,A0014,DALLI   PAPTYA,21844 - 31909,TOPAZ,4-7,11.83,4.570
 02.Jan.2023,GECE,A0004,TEK  PAPTYA,21844 - 31909,GR-2,4-7,12.00,4.770
 02.Jan.2023,GECE,A0018,TUBE CEMBERLI ,21945 - 8492926,SİYAH,ONE SİZE,14.00,0.000
 02.Jan.2023,GÜNDÜZ,A0013,EKRU ÇOK ARI,21844-1 - 31911,EKRU-2,ONE SİZE,9.83,3.900
 02.Jan.2023,GECE,A0012,3 LU DERBI CEMBERLI ,21836 - 32026,BEYAZ-SIYAH,35-38,11.92,4.550
 02.Jan.2023,GECE,A0001,POLKA DOTA ANKLE BLUE,21844-1 - 31907,SKY,35-38,12.00,4.470
 02.Jan.2023,GECE,A0002,FLORAL ANKLE,21844-1 - 31912,GR-17,ONE SİZE,11.92,4.710
 02.Jan.2023,GÜNDÜZ,A0021,FLORAL ANKLE,21844-1 - 31912,A.PEMBE,ONE SİZE,9.25,3.440
 02.Jan.2023,GÜNDÜZ,A0033,DENIZ MAHSULLERİ,21844-1 - 31917,MAVİ,ONE SİZE,9.67,3.930
 02.Jan.2023,GECE,A0027,MANTAR DESEN,21862 - 30680-4,SKY,ONE SİZE,13.17,4.200
 02.Jan.2023,GÜNDÜZ,A0025,FLAMINGO SOKET,21844-1 - 31915,PEMBE,ONE SİZE,10.17,3.780
 02.Jan.2023,GECE,A0036,2023-1,2023-1 - 2023-1,SİYAH,35-38,14.00,4.870
 02.Jan.2023,GECE,A0009,POLKA DOTA ANKLE BLUE,21844-1 - 31907,Ş.PEMBE,35-38,12.83,4.520
 02.Jan.2023,GECE,A0029,FLORAL ANKLE,21844-1 - 31912,LACİVERT,ONE SİZE,11.58,4.580
