Tarih,Çalışma Grubu,İstasyon Adı,Model Ad,Sağlam(dz),Miktar (kg.),Ürün Grubu
 22.Feb.2023,GÜNDÜZ,A0033,DERBILI HAVLU DİZALTI,5.00,0.000,HAVLU DİZALTI
 22.Feb.2023,GÜNDÜZ,A0032,DERBILI HAVLU DİZALTI,5.00,0.000,HAVLU DİZALTI
 22.Feb.2023,GÜNDÜZ,A0007,DERBILI HAVLU DİZALTI,6.00,0.000,HAVLU DİZALTI
 22.Feb.2023,GÜNDÜZ,A0018,SİM CEMBER PATİK,7.00,0.000,BAYAN PATİK
 22.Feb.2023,GÜNDÜZ,A0035,CODE 3P.XX SHORT,11.33,3.460,PATİK
 22.Feb.2023,GÜNDÜZ,A0026,KOPEK PATİK,14.00,0.000,BAYAN PATİK
 22.Feb.2023,GÜNDÜZ,A0028,PUNALI SOKET,8.75,2.900,BAYAN SOKET
 22.Feb.2023,GÜNDÜZ,A0027,PUNALI SOKET,8.75,2.870,BAYAN SOKET
 22.Feb.2023,GÜNDÜZ,A0031,DERBILI HAVLU DİZALTI,3.00,0.000,HAVLU DİZALTI
 22.Feb.2023,GÜNDÜZ,A0003,CODE 3P.XX SHORT,10.92,2.740,PATİK
 22.Feb.2023,GÜNDÜZ,A0013,2023-15,4.75,2.140,SOKET ERKEK
 22.Feb.2023,GÜNDÜZ,A0019,CEMBERLI PATIK,8.08,1.660,BAYAN PATİK
 22.Feb.2023,GÜNDÜZ,A0034,TAM HAVLU KISA SOKET,9.00,0.000,BAYAN ERKEK KISAKONC HAVLU
 22.Feb.2023,GÜNDÜZ,A0008,3P-TENİS HAVLU,7.58,4.940,SOKET TENİS
 22.Feb.2023,GÜNDÜZ,A0005,3P-TENİS HAVLU,7.33,4.610,SOKET TENİS
 22.Feb.2023,GÜNDÜZ,A0029,PUNALI SOKET,8.83,3.170,BAYAN SOKET
 22.Feb.2023,GÜNDÜZ,A0025,TAM HAVLU KISA SOKET,9.00,0.000,BAYAN ERKEK KISAKONC HAVLU
 22.Feb.2023,GÜNDÜZ,A0018,SİM CEMBER PATİK,5.00,0.000,BAYAN PATİK
 22.Feb.2023,GÜNDÜZ,A0021,BEKLETME DESEN,10.67,0.000,BAYAN PATİK
 22.Feb.2023,GÜNDÜZ,A0024,2023-3,9.25,1.660,BAYAN BAMBU BABET
