Tarih,Çalışma Grubu,İstasyon Adı,Sağlam(dz),Miktar (kg.),Ürün Grubu,Model Ad
 08.Feb.2023,GECE,A0023,14.50,3.120,SNİCKERS,2023-2
 01.Feb.2023,GECE,A0016,15.08,5.260,KISA KONÇ,KISAKONC
 02.Jan.2023,GÜNDÜZ,A0018,13.00,0.000,BAYAN KISAKONC,TUBE CEMBERLI 
 20.Feb.2023,GECE,A0008,12.33,6.590,SOKET TENİS,3P-TENİS HAVLU
 16.Feb.2023,GÜNDÜZ,A0023,25.17,6.600,BAYAN SOKET,CEMBERLI YILDIZLI PATİK
 30.Jan.2023,GECE,A0024,13.58,2.420,BAYAN BAMBU BABET,2023-3
 02.Jan.2023,GÜNDÜZ,A0015,11.92,4.130,BAYAN SOKET,2023-1
 19.Jan.2023,GÜNDÜZ,A0018,13.00,0.000,BAYAN PATİK,BAYAN SIMLI KARELI  PATIK
 21.Feb.2023,GÜNDÜZ,A0016,10.83,3.390,PATİK,CODE 3P.XX SHORT
 05.Jan.2023,GECE,A0008,10.83,4.460,BAYAN SOKET,DENIZ MAHSULLERİ
 05.Jan.2023,GÜNDÜZ,A0028,8.33,2.750,BAYAN SOKET,KRAL TACI
 21.Feb.2023,GECE,A0011,12.00,0.000,BAYAN ERKEK KISAKONC HAVLU,TAM HAVLU KISA SOKET
 26.Jan.2023,GÜNDÜZ,A0036,11.25,3.520,PATİK,CODE 3P.XX SHORT
 12.Jan.2023,GECE,A0025,34.50,13.250,BAYAN SOKET,EKRU ÇOK ARI
 16.Feb.2023,GÜNDÜZ,A0011,8.75,1.500,ÇETİK,KALPLI   BABET
 20.Feb.2023,GÜNDÜZ,A0030,5.25,1.820,BAYAN SOKET,KALPLI SOKET
 09.Jan.2023,GECE,A0028,12.92,4.090,BAYAN SOKET,MANTAR DESEN
 20.Jan.2023,GÜNDÜZ,A0022,9.25,2.110,SNİCKERS,2023-2
 05.Jan.2023,GECE,A0006,14.00,0.000,ERKEK PATİK,CARERA PATİK
 22.Jan.2023,GECE,A0010,22.50,5.730,PATİK,CODE 3P.XX SHORT
 18.Jan.2023,GÜNDÜZ,A0018,10.00,0.000,BAYAN PATİK,BAYAN SIMLI KARELI  PATIK
 09.Feb.2023,GÜNDÜZ,A0007,9.75,1.660,ÇETİK,CEMBERLI BABET
 14.Feb.2023,GECE,A0035,16.25,5.000,PATİK,CODE 3P.XX SHORT
 09.Feb.2023,GÜNDÜZ,A0005,8.17,4.760,SOKET TENİS,3P-TENİS HAVLU
 09.Feb.2023,GÜNDÜZ,A0016,11.17,3.480,PATİK,CODE 3P.XX SHORT
 22.Feb.2023,GECE,A0003,16.75,4.230,PATİK,CODE 3P.XX SHORT
 10.Jan.2023,GECE,A0029,7.08,2.800,BAYAN SOKET,FLORAL ANKLE
 20.Feb.2023,GECE,A0011,10.50,1.790,BAYAN BAMBU BABET,2023-3
 08.Feb.2023,GECE,A0008,13.75,2.430,ÇETİK,KAMUFLAJ  BABET
 31.Jan.2023,GECE,A0013,15.00,4.970,PATİK,CODE 3P.XX SHORT
 25.Jan.2023,GECE,A0030,15.33,4.210,PATİK,CODE 3P.XX SHORT
 05.Jan.2023,GÜNDÜZ,A0015,11.83,4.100,BAYAN SOKET,2023-1
 13.Jan.2023,GÜNDÜZ,A0020,7.17,2.510,BAYAN SOKET,RIB ANKLE PURPLE
 09.Feb.2023,GÜNDÜZ,A0028,7.92,2.740,BAYAN SOKET,PUNALI SOKET
